College Name,Month/Year Collected,Annual Green Power Usage (kWh),GP% Total Energy Use,Green Power Resources,College State
SUNY University at Buffalo,18-Jan,211977208,97,"Solar,Wind",NY
University of Pennsylvania,18-Jan,200000000,52,Wind,PA
Georgetown University,18-Jan,159640000,129,Wind,DC
Stanford University,18-Jan,154190253,53,Solar,CA
University of Oklahoma,18-Jan,128895000,69,Wind,OK
Carnegie Mellon University,18-Jan,128593388,100,"Solar,Wind",NY
University of California,18-Jan,128084650,11,"Biomass, Biogas, Solar, Wind",CA
Northwestern University,18-Jan,122014800,50,"Solar,Wind",IL
The Ohio State University,18-Jan,107499814,17,Wind,OH
University of North Texas,18-Jan,107250000,100,"Solar,Wind",TX
Oklahoma State University,18-Jan,101559806,71,Wind,OK
University of Missouri,18-Jan,97892973,37,"Biomass,Solar,Wind",MO
University of Maryland,18-Jan,96927825,34,"Biogas,Small Hydro,Solar,Wind",MD
Drexel University,18-Jan,96509000,100,"Solar, Wind",PA
University of South Florida,18-Jan,78564500,40,Wind,PA
University of New Hampshire,18-Jan,70739000,100,Wind,NH
University of Wisconsin,18-Jan,70198709,15,"Biogas,Solar,Wind",WI
Tarrant County College District,18-Jan,66255000,70,"Biogas,Biomass,Small Hydro, Solar, Wind",TX
The City University of New York,18-Jan,64000000,13,Wind,NY
University of Vermont,18-Jan,59533000,99,Wind,VT
University of Minnesota,18-Jan,578000000,16,"Solar,Wind",MN
Ohio University,18-Jan,57464988,50,"Solar,Wind",OH
American University,18-Jan,55282224,100,Solar,DC
Temple University,18-Jan,55102500,25,Wind,PA
Texas A&M University System,18-Jan,45900000,15,Wind,TX
Syracuse University,18-Jan,41000000,35,Wind,NY
Western Washington University,18-Jan,40000000,119,Wind,WA
The Catholic University of America,18-Jan,39090882,100,Wind,DC
University of Illinois at Urbana-Champaign,18-Jan,33198656,8,"Solar, Wind",IL
